Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,state_abbr,lat,lon
"December 31, 2018",Ohio,Cleveland,4462 Denison Ave,3,2,,OH,41.4535107,-81.7169169
"December 29, 2018",Ohio,Lima,904 S Main St,1,3,,OH,40.7259619,-84.1051106
"December 28, 2018",Missouri,Saint Charles,150 Whetstone Dr,4,1,,MO,38.7811667,-90.56356699999999
"December 24, 2018",Louisiana,Lutcher,2176 Main St,2,2,,LA,30.039314,-90.701865
"December 23, 2018",Missouri,Springfield,1042 W College St,0,7,,MO,37.2080649,-93.3050007
"December 22, 2018",Nevada,Las Vegas,3528 S Maryland Pkwy,0,4,,NV,36.1241882,-115.1351839
"December 18, 2018",Maryland,Baltimore,3942 Park Heights Ave,0,5,,MD,39.3342369,-76.6627714
"December 15, 2018",Florida,Miami,239 NW 16th St,0,5,,FL,25.7905967,-80.1995148
"December 14, 2018",Colorado,Colorado Springs,700 block of Geiger Ct,1,3,,CO,38.84313,-104.7342284
"December 13, 2018",Pennsylvania,Philadelphia,4505 N Broad St,0,4,,PA,40.0216253,-75.1481877
"December 11, 2018",Louisiana,Natchitoches,Caspari St and University Pkwy,1,3,,LA,31.7529646,-93.09486629999999
"December 9, 2018",North Carolina,Laurinburg,Lees Mill Rd,1,3,,NC,34.7932453,-79.4417502
"December 9, 2018",Wisconsin,Madison,3554 E Washington Ave,0,4,,WI,43.115784,-89.32712409999999
"December 8, 2018",California,Inglewood,801 S Inglewood Ave,0,5,,CA,33.95342360000001,-118.3617976
"December 8, 2018",New York,Corona (Queens),89-25 130th St,0,5,,NY,40.699159,-73.820605
"December 1, 2018",Florida,Miami,NW Fifth Ave and NW Eighth St,0,5,,FL,25.7815988,-80.20302099999999
"November 26, 2018",Tennessee,Powell,Tammy Dr,0,4,,TN,36.0523327,-84.0061795
"November 25, 2018",Alabama,Demopolis,Floyd St and Field St,2,2,,AL,32.5063831,-87.8236929
"November 25, 2018",Texas,Houston,4500 block of Yale St,1,3,,TX,29.8306007,-95.4011405
"November 25, 2018",California,Oakland,1000 block of 24th St,0,4,,CA,37.81645719999999,-122.2802262
"November 23, 2018",Florida,Miami,5801 NW 27th Ave,2,5,,FL,25.8278431,-80.2406266
"November 22, 2018",Indiana,Fort Wayne,6100 block of Downingtown Dr,3,2,,IN,41.0290288,-85.1276714
"November 21, 2018",Missouri,Saint Louis,4200 block of Shreve Ave,0,4,,MO,38.6791297,-90.2415994
"November 19, 2018",Pennsylvania,Philadelphia,5100 block of Malcolm St,4,0,,PA,39.9476905,-75.2253042
"November 19, 2018",Colorado,Denver,1200 21st Street,1,4,,CO,39.7532236,-104.9905691
"November 18, 2018",California,Los Angeles (Watts),95th St and Defiance Ave,1,4,,CA,33.950688,-118.2453023
"November 16, 2018",Arkansas,Little Rock,4405 W 14th St,3,1,,AR,34.7386163,-92.3230674
"November 14, 2018",Louisiana,Baton Rouge,4800 block of Gus Young Ave,3,1,,LA,30.4621558,-91.14206569999999
"November 13, 2018",New Mexico,Gallup,CR 1 and Defiance Draw Rd,4,1,,NM,35.4896623,-108.8972011
"November 13, 2018",Indiana,Indianapolis,2007 Blue Pine Ln,2,2,,IN,39.7371178,-86.32295909999999
"November 12, 2018",North Carolina,Dunn,4640 Woods Crossroads Rd,3,1,,NC,35.308071,-78.5241829
"November 11, 2018",Arizona,Globe,598 N Broad St,3,1,,AZ,33.3999315,-110.7896004
"November 7, 2018",California,Thousand Oaks,99 Rolling Oaks Dr,13,2,,CA,34.1766157,-118.8748493
"November 3, 2018",New York,Watertown,136 Franklin St,0,5,,NY,43.9737217,-75.9093278
"November 2, 2018",California,Long Beach (North Long Beach),5800 block of Brayton Ave,0,4,,CA,33.8603282,-118.1760556
"November 2, 2018",Florida,Tallahassee,1950 Thomasville Rd,3,5,,FL,30.4672124,-84.2689477
"November 1, 2018",Minnesota,Minneapolis,3400 block of Girard Ave N,0,5,,MN,45.01691400000001,-93.2965754
"November 1, 2018",Missouri,Springfield,906 E Locust St,2,2,,MO,37.2271747,-93.28034950000001
"October 31, 2018",Michigan,Detroit,19000 block of Langholm St,1,3,,MI,42.4342723,-83.0111876
"October 30, 2018",California,Vallejo,Woodrow Ave and Reis Ave,2,3,,CA,38.093305,-122.2320412
"October 30, 2018",California,Los Angeles,65th Place and Vermont Avenue,0,5,,CA,33.979848,-118.2917427
"October 29, 2018",California,Riverside,3252 Mission Inn Ave,0,7,,CA,33.98023,-117.3691
"October 28, 2018",Arkansas,El Dorado,2 Whites Quarters,2,2,,AR,33.2024551,-92.64999739999999
"October 27, 2018",Tennessee,Memphis,4275 Ladyslipper,0,5,,TN,35.0318838,-89.85024519999999
"October 27, 2018",Pennsylvania,Pittsburgh,5898 Wilkins Ave,11,7,,PA,40.4434749,-79.9209317
"October 26, 2018",New Jersey,Jersey City,77 Brinkerhoff St,1,3,,NJ,40.71906600000001,-74.07385599999999
"October 24, 2018",Illinois,Chicago,6200 block of S King Dr,0,5,,IL,41.78198020000001,-87.6158672
"October 22, 2018",Illinois,Chicago,9231 S Cottage Grove Av,0,6,,IL,41.7265408,-87.604096
"October 21, 2018",Washington,Lakewood,8722 S Tacoma Way,1,3,,WA,47.1785049,-122.4852109
"October 21, 2018",Florida,Jacksonville,900 block of A Philip Randolph Blvd,1,5,,FL,30.3331416,-81.64274309999999
"October 16, 2018",Georgia,Atlanta,Broad St,0,4,,GA,33.7554333,-84.389775
"October 15, 2018",Tennessee,Columbia,1075 Carters Creek Pike,5,0,,TN,35.7287243,-87.01602319999999
"October 14, 2018",Nevada,Las Vegas,2815 W Lake Mead Blvd,3,1,,NV,36.196548,-115.1780313
"October 14, 2018",Texas,Fort Worth,5310 E Rosedale St,0,4,,TX,32.7304501,-97.2416714
"October 14, 2018",California,Palo Alto (East Palo Alto),2500 block of Pulgas Ave,2,2,,CA,37.4733093,-122.1318381
"October 13, 2018",Missouri,Saint Louis,400 block of Midlothian Road,0,4,,MO,38.7558458,-90.2036416
"October 13, 2018",Texas,Taft,511 Wilburn St,4,1,,TX,27.9748727,-97.4079206
"October 12, 2018",South Carolina,Spartanburg,1620 John B White Sr Blvd,0,6,,SC,34.923608,-81.9791766
"October 12, 2018",Nevada,Las Vegas,6500 block of W Charleston Blvd,0,4,,NV,36.1608107,-115.24139
"October 8, 2018",Alabama,Birmingham,Joppa Ave,0,4,,AL,33.5459787,-86.72300969999999
"October 6, 2018",Oklahoma,Tulsa,9453 E 31st St,0,4,,OK,36.1193444,-95.8694154
"October 6, 2018",Texas,Houston,6802 Cullen Blvd,1,3,,TX,29.6892712,-95.3539064
"October 6, 2018",California,Oakland,Williams St and Telegraph Ave,0,6,,CA,37.8089497,-122.2697388
"October 4, 2018",New Mexico,Espanola (Española),1813 N Riverside Dr,1,3,,NM,36.0172761,-106.0645293
"October 4, 2018",Georgia,Swainsboro,Lucky St,0,4,,GA,32.5985033,-82.34083249999999
"October 3, 2018",Pennsylvania,Philadelphia,5101 Germantown Ave,1,4,,PA,40.0304158,-75.1653697
"October 3, 2018",South Carolina,Florence,932 Ashton Dr,2,6,,SC,34.2212348,-79.8474213
"October 1, 2018",Illinois,Chicago,500 block of S Michigan Ave,2,2,,IL,41.8755216,-87.6248715
"September 30, 2018",California,Compton,200 block N Long Beach Blvd,1,3,,CA,33.8969891,-118.2077899
"September 29, 2018",Florida,Orlando,1700 block of 24th St,1,4,,FL,28.516796,-81.40340690000001
"September 28, 2018",Pennsylvania,Philadelphia,5100 block of Haverford Ave,2,2,,PA,39.9640999,-75.2221192
"September 24, 2018",Tennessee,Memphis,1528 Ragan St,3,2,,TN,35.104517,-90.00894699999999
"September 23, 2018",California,Bakersfield,2600 block of Chandler Court,1,4,,CA,35.331379,-119.040328
"September 23, 2018",California,Baldwin Park,3700 block of Loma Lane,0,4,,CA,34.0762519,-117.9823022
"September 22, 2018",District of Columbia,Washington,1800 block of Benning Rd,0,4,,,38.89929550000001,-76.9773661
"September 22, 2018",New York,Hempstead,Dolan St,0,4,,NY,40.7062128,-73.6187397
"September 20, 2018",Maryland,Aberdeen,1501 Perryman Rd,4,3,,MD,39.4740535,-76.2031952
"September 20, 2018",New York,Syracuse,1317 Midland Ave,0,5,,NY,43.0259565,-76.1514761
"September 19, 2018",Wisconsin,Middleton,1850 Deming Way,1,4,,WI,43.0951221,-89.52572819999999
"September 19, 2018",Illinois,Chicago,W Cermak Rd and S State St,0,4,,IL,41.8529443,-87.6270819
"September 19, 2018",Pennsylvania,Masontown,1 E Church St,1,4,,PA,39.8471659,-79.8992415
"September 18, 2018",Louisiana,New Orleans (Algiers),1100 block of Sumner St,0,4,,LA,29.9438453,-90.0378515
"September 18, 2018",Tennessee,Memphis,4622 Faronia Rd,0,4,,TN,35.0224221,-90.0194209
"September 17, 2018",Maryland,Silver Spring,123 Amberleigh Dr,4,1,,MD,39.0910873,-77.0032538
"September 15, 2018",Wisconsin,Milwaukee,820 S 21st St,0,4,,WI,43.02211670000001,-87.9392056
"September 12, 2018",California,Bakersfield,660 Manwell Blvd,6,0,,CA,35.3490297,-118.9163346
"September 11, 2018",Illinois,Chicago,10600 block of S Bensley Avenue,0,4,,IL,41.7025894,-87.56335039999999
"September 10, 2018",Tennessee,Memphis,140 Lt George W Lee Ave,0,5,,TN,35.1391258,-90.0536121
"September 9, 2018",Alabama,Auburn,224 W Magnolia St,1,4,,AL,32.6070922,-85.4838597
"September 9, 2018",Florida,Jacksonville,,0,4,,FL,30.323701,-81.541085
"September 9, 2018",Illinois,Elgin,550 S McLean Blvd,1,3,,IL,42.0198706,-88.3140221
"September 7, 2018",Minnesota,Minneapolis,2024 N Washington Ave,1,3,,MN,45.0001271,-93.2815258
