Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,state_abbr,lat,lon
"December 31, 2015",Louisiana,New Orleans,1900 block of Amelia Street,0,6,,LA,29.93035789999999,-90.09590659999999
"December 27, 2015",Tennessee,Jackson,North Parkway,0,4,,TN,35.6486031,-88.81761879999999
"December 26, 2015",Pennsylvania,Philadelphia,4210 Macalester St,0,4,,PA,40.0142161,-75.12113
"December 25, 2015",Florida,Jacksonville,Franklin and Odessa,0,4,,FL,30.3328796,-81.6394057
"December 25, 2015",Alabama,Mobile,785 Schillinger Rd S,0,4,,AL,30.6731365,-88.2216179
"December 21, 2015",California,San Leandro,14600 block of East 14th Street,0,4,,CA,37.7097668,-122.1344967
"December 20, 2015",Florida,Golden Glades,NE 166th St and NE 7th Ave,0,4,,FL,25.9277617,-80.18623219999999
"December 20, 2015",North Carolina,Wilmington,11th and Castle Street,1,4,,NC,34.228869,-77.93474499999999
"December 20, 2015",Florida,Miami (Goulds),21630 Southwest 120th Avenue,1,4,,FL,25.5659366,-80.3867803
"December 13, 2015",California,Los Angeles,5550 S. Flower Street,1,3,,CA,34.0158468,-118.2826487
"December 13, 2015",California,Huntington Beach,17000 block of Keelson Lane,0,4,,CA,33.7116589,-117.9904353
"December 12, 2015",Georgia,Savannah,Whitaker Street,0,4,,GA,32.0667719,-81.09774829999999
"December 12, 2015",Illinois,Lovejoy (Brooklyn),307 Jefferson St,1,3,,IL,38.6573252,-90.1684255
"December 11, 2015",Maryland,Baltimore,5100 block of Park Heights Avenue,1,3,,MD,39.3482879,-76.67506
"December 11, 2015",Pennsylvania,Pittsburgh (Mount Oliver),200 block of  Brownsville Road,0,4,,PA,40.415868,-79.987511
"December 8, 2015",Ohio,Cincinnati (Fairmount),2300 block of Baltimore Avenue,1,3,,OH,39.149724,-84.56146799999999
"December 6, 2015",Louisiana,Raceland,Market Street,1,3,,LA,29.719339,-90.60932269999999
"December 6, 2015",Nebraska,Omaha,North 108th Street and Military Road,2,3,,NE,41.3174615,-96.0814204
