actual,cleared,data_year,offense,ori,state_abbr
29,18,2014,aggravated-assault,MA0090800,MA
5,1,2014,arson,MA0090800,MA
66,9,2014,burglary,MA0090800,MA
0,0,2014,homicide,MA0090800,MA
0,0,2014,human-trafficing,MA0090800,MA
297,31,2014,larceny,MA0090800,MA
26,1,2014,motor-vehicle-theft,MA0090800,MA
389,41,2014,property-crime,MA0090800,MA
3,0,2014,rape,MA0090800,MA
0,0,2014,rape-legacy,MA0090800,MA
2,0,2014,robbery,MA0090800,MA
34,18,2014,violent-crime,MA0090800,MA
27,18,2015,aggravated-assault,MA0090800,MA
2,0,2015,arson,MA0090800,MA
51,5,2015,burglary,MA0090800,MA
0,0,2015,homicide,MA0090800,MA
0,0,2015,human-trafficing,MA0090800,MA
201,14,2015,larceny,MA0090800,MA
21,1,2015,motor-vehicle-theft,MA0090800,MA
273,20,2015,property-crime,MA0090800,MA
3,0,2015,rape,MA0090800,MA
0,0,2015,rape-legacy,MA0090800,MA
3,2,2015,robbery,MA0090800,MA
33,20,2015,violent-crime,MA0090800,MA
35,21,2016,aggravated-assault,MA0090800,MA
0,0,2016,arson,MA0090800,MA
33,2,2016,burglary,MA0090800,MA
0,0,2016,homicide,MA0090800,MA
0,0,2016,human-trafficing,MA0090800,MA
161,7,2016,larceny,MA0090800,MA
7,1,2016,motor-vehicle-theft,MA0090800,MA
201,10,2016,property-crime,MA0090800,MA
3,0,2016,rape,MA0090800,MA
0,0,2016,rape-legacy,MA0090800,MA
5,0,2016,robbery,MA0090800,MA
43,21,2016,violent-crime,MA0090800,MA
26,21,2017,aggravated-assault,MA0090800,MA
2,0,2017,arson,MA0090800,MA
52,7,2017,burglary,MA0090800,MA
1,1,2017,homicide,MA0090800,MA
0,0,2017,human-trafficing,MA0090800,MA
177,38,2017,larceny,MA0090800,MA
15,2,2017,motor-vehicle-theft,MA0090800,MA
244,47,2017,property-crime,MA0090800,MA
5,5,2017,rape,MA0090800,MA
0,0,2017,rape-legacy,MA0090800,MA
8,5,2017,robbery,MA0090800,MA
40,32,2017,violent-crime,MA0090800,MA
2,1,2014,aggravated-assault,MA0090900,MA
0,0,2014,arson,MA0090900,MA
6,0,2014,burglary,MA0090900,MA
0,0,2014,homicide,MA0090900,MA
0,0,2014,human-trafficing,MA0090900,MA
20,2,2014,larceny,MA0090900,MA
1,0,2014,motor-vehicle-theft,MA0090900,MA
27,2,2014,property-crime,MA0090900,MA
2,0,2014,rape,MA0090900,MA
0,0,2014,rape-legacy,MA0090900,MA
0,0,2014,robbery,MA0090900,MA
4,1,2014,violent-crime,MA0090900,MA
2,1,2015,aggravated-assault,MA0090900,MA
0,0,2015,arson,MA0090900,MA
5,0,2015,burglary,MA0090900,MA
0,0,2015,homicide,MA0090900,MA
0,0,2015,human-trafficing,MA0090900,MA
17,0,2015,larceny,MA0090900,MA
0,0,2015,motor-vehicle-theft,MA0090900,MA
22,0,2015,property-crime,MA0090900,MA
0,0,2015,rape,MA0090900,MA
0,0,2015,rape-legacy,MA0090900,MA
1,1,2015,robbery,MA0090900,MA
3,2,2015,violent-crime,MA0090900,MA
7,5,2016,aggravated-assault,MA0090900,MA
0,0,2016,arson,MA0090900,MA
3,0,2016,burglary,MA0090900,MA
0,0,2016,homicide,MA0090900,MA
0,0,2016,human-trafficing,MA0090900,MA
16,0,2016,larceny,MA0090900,MA
3,0,2016,motor-vehicle-theft,MA0090900,MA
22,0,2016,property-crime,MA0090900,MA
0,0,2016,rape,MA0090900,MA
0,0,2016,rape-legacy,MA0090900,MA
0,0,2016,robbery,MA0090900,MA
7,5,2016,violent-crime,MA0090900,MA
15,14,2017,aggravated-assault,MA0090900,MA
0,0,2017,arson,MA0090900,MA
3,1,2017,burglary,MA0090900,MA
0,0,2017,homicide,MA0090900,MA
0,0,2017,human-trafficing,MA0090900,MA
18,0,2017,larceny,MA0090900,MA
3,0,2017,motor-vehicle-theft,MA0090900,MA
24,1,2017,property-crime,MA0090900,MA
3,0,2017,rape,MA0090900,MA
0,0,2017,rape-legacy,MA0090900,MA
0,0,2017,robbery,MA0090900,MA
18,14,2017,violent-crime,MA0090900,MA
27,22,2014,aggravated-assault,MA0091000,MA
0,0,2014,arson,MA0091000,MA
37,3,2014,burglary,MA0091000,MA
0,0,2014,homicide,MA0091000,MA
0,0,2014,human-trafficing,MA0091000,MA
434,131,2014,larceny,MA0091000,MA
19,0,2014,motor-vehicle-theft,MA0091000,MA
490,134,2014,property-crime,MA0091000,MA
7,0,2014,rape,MA0091000,MA
0,0,2014,rape-legacy,MA0091000,MA
3,2,2014,robbery,MA0091000,MA
37,24,2014,violent-crime,MA0091000,MA
39,26,2015,aggravated-assault,MA0091000,MA
1,0,2015,arson,MA0091000,MA
37,2,2015,burglary,MA0091000,MA
1,0,2015,homicide,MA0091000,MA
0,0,2015,human-trafficing,MA0091000,MA
435,129,2015,larceny,MA0091000,MA
21,3,2015,motor-vehicle-theft,MA0091000,MA
493,134,2015,property-crime,MA0091000,MA
5,0,2015,rape,MA0091000,MA
0,0,2015,rape-legacy,MA0091000,MA
10,5,2015,robbery,MA0091000,MA
55,31,2015,violent-crime,MA0091000,MA
37,26,2016,aggravated-assault,MA0091000,MA
3,1,2016,arson,MA0091000,MA
23,2,2016,burglary,MA0091000,MA
0,0,2016,homicide,MA0091000,MA
0,0,2016,human-trafficing,MA0091000,MA
420,141,2016,larceny,MA0091000,MA
11,3,2016,motor-vehicle-theft,MA0091000,MA
454,146,2016,property-crime,MA0091000,MA
7,0,2016,rape,MA0091000,MA
0,0,2016,rape-legacy,MA0091000,MA
8,2,2016,robbery,MA0091000,MA
52,28,2016,violent-crime,MA0091000,MA
41,32,2017,aggravated-assault,MA0091000,MA
1,1,2017,arson,MA0091000,MA
26,6,2017,burglary,MA0091000,MA
0,0,2017,homicide,MA0091000,MA
0,0,2017,human-trafficing,MA0091000,MA
447,174,2017,larceny,MA0091000,MA
12,0,2017,motor-vehicle-theft,MA0091000,MA
485,180,2017,property-crime,MA0091000,MA
7,2,2017,rape,MA0091000,MA
0,0,2017,rape-legacy,MA0091000,MA
5,3,2017,robbery,MA0091000,MA
53,37,2017,violent-crime,MA0091000,MA
188,103,2014,aggravated-assault,MA0091100,MA
5,0,2014,arson,MA0091100,MA
291,15,2014,burglary,MA0091100,MA
2,1,2014,homicide,MA0091100,MA
0,0,2014,human-trafficing,MA0091100,MA
2189,205,2014,larceny,MA0091100,MA
130,6,2014,motor-vehicle-theft,MA0091100,MA
2610,226,2014,property-crime,MA0091100,MA
22,5,2014,rape,MA0091100,MA
0,0,2014,rape-legacy,MA0091100,MA
90,24,2014,robbery,MA0091100,MA
302,133,2014,violent-crime,MA0091100,MA
219,101,2015,aggravated-assault,MA0091100,MA
4,1,2015,arson,MA0091100,MA
436,28,2015,burglary,MA0091100,MA
3,3,2015,homicide,MA0091100,MA
0,0,2015,human-trafficing,MA0091100,MA
2059,187,2015,larceny,MA0091100,MA
121,9,2015,motor-vehicle-theft,MA0091100,MA
2616,224,2015,property-crime,MA0091100,MA
24,2,2015,rape,MA0091100,MA
0,0,2015,rape-legacy,MA0091100,MA
82,19,2015,robbery,MA0091100,MA
328,125,2015,violent-crime,MA0091100,MA
188,71,2016,aggravated-assault,MA0091100,MA
6,0,2016,arson,MA0091100,MA
326,19,2016,burglary,MA0091100,MA
2,0,2016,homicide,MA0091100,MA
0,0,2016,human-trafficing,MA0091100,MA
1926,156,2016,larceny,MA0091100,MA
119,7,2016,motor-vehicle-theft,MA0091100,MA
2371,182,2016,property-crime,MA0091100,MA
28,1,2016,rape,MA0091100,MA
0,0,2016,rape-legacy,MA0091100,MA
76,15,2016,robbery,MA0091100,MA
294,87,2016,violent-crime,MA0091100,MA
193,100,2017,aggravated-assault,MA0091100,MA
3,1,2017,arson,MA0091100,MA
252,17,2017,burglary,MA0091100,MA
2,0,2017,homicide,MA0091100,MA
0,0,2017,human-trafficing,MA0091100,MA
1685,180,2017,larceny,MA0091100,MA
94,8,2017,motor-vehicle-theft,MA0091100,MA
2031,205,2017,property-crime,MA0091100,MA
17,1,2017,rape,MA0091100,MA
0,0,2017,rape-legacy,MA0091100,MA
101,30,2017,robbery,MA0091100,MA
313,131,2017,violent-crime,MA0091100,MA
0,0,2014,aggravated-assault,MA0091200,MA
0,0,2014,arson,MA0091200,MA
4,0,2014,burglary,MA0091200,MA
0,0,2014,homicide,MA0091200,MA
0,0,2014,human-trafficing,MA0091200,MA
6,0,2014,larceny,MA0091200,MA
0,0,2014,motor-vehicle-theft,MA0091200,MA
10,0,2014,property-crime,MA0091200,MA
0,0,2014,rape,MA0091200,MA
0,0,2014,rape-legacy,MA0091200,MA
0,0,2014,robbery,MA0091200,MA
0,0,2014,violent-crime,MA0091200,MA
0,0,2015,aggravated-assault,MA0091200,MA
1,0,2015,arson,MA0091200,MA
3,1,2015,burglary,MA0091200,MA
0,0,2015,homicide,MA0091200,MA
0,0,2015,human-trafficing,MA0091200,MA
20,2,2015,larceny,MA0091200,MA
0,0,2015,motor-vehicle-theft,MA0091200,MA
23,3,2015,property-crime,MA0091200,MA
1,0,2015,rape,MA0091200,MA
0,0,2015,rape-legacy,MA0091200,MA
0,0,2015,robbery,MA0091200,MA
1,0,2015,violent-crime,MA0091200,MA
0,0,2016,aggravated-assault,MA0091200,MA
0,0,2016,arson,MA0091200,MA
1,0,2016,burglary,MA0091200,MA
0,0,2016,homicide,MA0091200,MA
0,0,2016,human-trafficing,MA0091200,MA
22,2,2016,larceny,MA0091200,MA
0,0,2016,motor-vehicle-theft,MA0091200,MA
23,2,2016,property-crime,MA0091200,MA
0,0,2016,rape,MA0091200,MA
0,0,2016,rape-legacy,MA0091200,MA
1,0,2016,robbery,MA0091200,MA
1,0,2016,violent-crime,MA0091200,MA
2,1,2017,aggravated-assault,MA0091200,MA
0,0,2017,arson,MA0091200,MA
2,0,2017,burglary,MA0091200,MA
0,0,2017,homicide,MA0091200,MA
0,0,2017,human-trafficing,MA0091200,MA
9,1,2017,larceny,MA0091200,MA
0,0,2017,motor-vehicle-theft,MA0091200,MA
11,1,2017,property-crime,MA0091200,MA
1,0,2017,rape,MA0091200,MA
0,0,2017,rape-legacy,MA0091200,MA
0,0,2017,robbery,MA0091200,MA
3,1,2017,violent-crime,MA0091200,MA
23,22,2014,aggravated-assault,MA0091300,MA
1,0,2014,arson,MA0091300,MA
39,7,2014,burglary,MA0091300,MA
0,0,2014,homicide,MA0091300,MA
0,0,2014,human-trafficing,MA0091300,MA
513,194,2014,larceny,MA0091300,MA
13,1,2014,motor-vehicle-theft,MA0091300,MA
565,202,2014,property-crime,MA0091300,MA
0,0,2014,rape,MA0091300,MA
0,0,2014,rape-legacy,MA0091300,MA
7,4,2014,robbery,MA0091300,MA
30,26,2014,violent-crime,MA0091300,MA
15,14,2015,aggravated-assault,MA0091300,MA
1,0,2015,arson,MA0091300,MA
33,10,2015,burglary,MA0091300,MA
0,0,2015,homicide,MA0091300,MA
0,0,2015,human-trafficing,MA0091300,MA
387,138,2015,larceny,MA0091300,MA
14,2,2015,motor-vehicle-theft,MA0091300,MA
434,150,2015,property-crime,MA0091300,MA
5,1,2015,rape,MA0091300,MA
0,0,2015,rape-legacy,MA0091300,MA
4,2,2015,robbery,MA0091300,MA
24,17,2015,violent-crime,MA0091300,MA
22,18,2016,aggravated-assault,MA0091300,MA
1,0,2016,arson,MA0091300,MA
25,2,2016,burglary,MA0091300,MA
0,0,2016,homicide,MA0091300,MA
0,0,2016,human-trafficing,MA0091300,MA
380,111,2016,larceny,MA0091300,MA
18,2,2016,motor-vehicle-theft,MA0091300,MA
423,115,2016,property-crime,MA0091300,MA
2,0,2016,rape,MA0091300,MA
0,0,2016,rape-legacy,MA0091300,MA
5,4,2016,robbery,MA0091300,MA
29,22,2016,violent-crime,MA0091300,MA
37,37,2017,aggravated-assault,MA0091300,MA
1,0,2017,arson,MA0091300,MA
48,7,2017,burglary,MA0091300,MA
0,0,2017,homicide,MA0091300,MA
0,0,2017,human-trafficing,MA0091300,MA
419,213,2017,larceny,MA0091300,MA
23,5,2017,motor-vehicle-theft,MA0091300,MA
490,225,2017,property-crime,MA0091300,MA
3,1,2017,rape,MA0091300,MA
0,0,2017,rape-legacy,MA0091300,MA
5,3,2017,robbery,MA0091300,MA
45,41,2017,violent-crime,MA0091300,MA
8,7,2014,aggravated-assault,MA0091400,MA
2,0,2014,arson,MA0091400,MA
22,7,2014,burglary,MA0091400,MA
0,0,2014,homicide,MA0091400,MA
0,0,2014,human-trafficing,MA0091400,MA
135,11,2014,larceny,MA0091400,MA
4,1,2014,motor-vehicle-theft,MA0091400,MA
161,19,2014,property-crime,MA0091400,MA
1,0,2014,rape,MA0091400,MA
0,0,2014,rape-legacy,MA0091400,MA
1,1,2014,robbery,MA0091400,MA
10,8,2014,violent-crime,MA0091400,MA
9,9,2015,aggravated-assault,MA0091400,MA
0,0,2015,arson,MA0091400,MA
31,3,2015,burglary,MA0091400,MA
0,0,2015,homicide,MA0091400,MA
0,0,2015,human-trafficing,MA0091400,MA
100,4,2015,larceny,MA0091400,MA
3,1,2015,motor-vehicle-theft,MA0091400,MA
134,8,2015,property-crime,MA0091400,MA
0,0,2015,rape,MA0091400,MA
0,0,2015,rape-legacy,MA0091400,MA
0,0,2015,robbery,MA0091400,MA
9,9,2015,violent-crime,MA0091400,MA
15,12,2016,aggravated-assault,MA0091400,MA
1,0,2016,arson,MA0091400,MA
19,2,2016,burglary,MA0091400,MA
0,0,2016,homicide,MA0091400,MA
0,0,2016,human-trafficing,MA0091400,MA
113,18,2016,larceny,MA0091400,MA
0,0,2016,motor-vehicle-theft,MA0091400,MA
132,20,2016,property-crime,MA0091400,MA
2,0,2016,rape,MA0091400,MA
0,0,2016,rape-legacy,MA0091400,MA
1,1,2016,robbery,MA0091400,MA
18,13,2016,violent-crime,MA0091400,MA
14,10,2017,aggravated-assault,MA0091400,MA
0,0,2017,arson,MA0091400,MA
9,4,2017,burglary,MA0091400,MA
0,0,2017,homicide,MA0091400,MA
0,0,2017,human-trafficing,MA0091400,MA
