actual,cleared,data_year,offense,ori,state_abbr
97,35,2014,aggravated-assault,NJ0061000,NJ
4,0,2014,arson,NJ0061000,NJ
373,18,2014,burglary,NJ0061000,NJ
5,4,2014,homicide,NJ0061000,NJ
0,0,2014,human-trafficing,NJ0061000,NJ
1531,291,2014,larceny,NJ0061000,NJ
30,2,2014,motor-vehicle-theft,NJ0061000,NJ
1934,311,2014,property-crime,NJ0061000,NJ
0,0,2014,rape,NJ0061000,NJ
12,3,2014,rape-legacy,NJ0061000,NJ
85,13,2014,robbery,NJ0061000,NJ
199,55,2014,violent-crime,NJ0061000,NJ
92,39,2015,aggravated-assault,NJ0061000,NJ
5,2,2015,arson,NJ0061000,NJ
295,14,2015,burglary,NJ0061000,NJ
2,1,2015,homicide,NJ0061000,NJ
0,0,2015,human-trafficing,NJ0061000,NJ
1604,244,2015,larceny,NJ0061000,NJ
48,2,2015,motor-vehicle-theft,NJ0061000,NJ
1947,260,2015,property-crime,NJ0061000,NJ
17,4,2015,rape,NJ0061000,NJ
0,0,2015,rape-legacy,NJ0061000,NJ
90,13,2015,robbery,NJ0061000,NJ
201,57,2015,violent-crime,NJ0061000,NJ
115,52,2016,aggravated-assault,NJ0061000,NJ
3,0,2016,arson,NJ0061000,NJ
304,18,2016,burglary,NJ0061000,NJ
4,2,2016,homicide,NJ0061000,NJ
0,0,2016,human-trafficing,NJ0061000,NJ
1352,262,2016,larceny,NJ0061000,NJ
58,3,2016,motor-vehicle-theft,NJ0061000,NJ
1714,283,2016,property-crime,NJ0061000,NJ
22,5,2016,rape,NJ0061000,NJ
0,0,2016,rape-legacy,NJ0061000,NJ
82,14,2016,robbery,NJ0061000,NJ
223,73,2016,violent-crime,NJ0061000,NJ
103,42,2017,aggravated-assault,NJ0061000,NJ
3,2,2017,arson,NJ0061000,NJ
235,14,2017,burglary,NJ0061000,NJ
3,2,2017,homicide,NJ0061000,NJ
0,0,2017,human-trafficing,NJ0061000,NJ
1280,294,2017,larceny,NJ0061000,NJ
39,3,2017,motor-vehicle-theft,NJ0061000,NJ
1554,311,2017,property-crime,NJ0061000,NJ
12,4,2017,rape,NJ0061000,NJ
0,0,2017,rape-legacy,NJ0061000,NJ
42,7,2017,robbery,NJ0061000,NJ
160,55,2017,violent-crime,NJ0061000,NJ
54,32,2014,aggravated-assault,NJ006SP00,NJ
16,2,2014,arson,NJ006SP00,NJ
329,100,2014,burglary,NJ006SP00,NJ
3,3,2014,homicide,NJ006SP00,NJ
0,0,2014,human-trafficing,NJ006SP00,NJ
623,301,2014,larceny,NJ006SP00,NJ
18,6,2014,motor-vehicle-theft,NJ006SP00,NJ
970,407,2014,property-crime,NJ006SP00,NJ
0,0,2014,rape,NJ006SP00,NJ
