actual,cleared,data_year,offense,ori,state_abbr
0,0,2014,aggravated-assault,AK0015200,AK
0,0,2014,arson,AK0015200,AK
0,0,2014,burglary,AK0015200,AK
0,0,2014,homicide,AK0015200,AK
0,0,2014,human-trafficing,AK0015200,AK
0,0,2014,larceny,AK0015200,AK
0,0,2014,motor-vehicle-theft,AK0015200,AK
0,0,2014,property-crime,AK0015200,AK
0,0,2014,rape,AK0015200,AK
0,0,2014,rape-legacy,AK0015200,AK
0,0,2014,robbery,AK0015200,AK
0,0,2014,violent-crime,AK0015200,AK
0,0,2015,aggravated-assault,AK0015200,AK
0,0,2015,arson,AK0015200,AK
0,0,2015,burglary,AK0015200,AK
0,0,2015,homicide,AK0015200,AK
0,0,2015,human-trafficing,AK0015200,AK
0,0,2015,larceny,AK0015200,AK
0,0,2015,motor-vehicle-theft,AK0015200,AK
0,0,2015,property-crime,AK0015200,AK
0,0,2015,rape,AK0015200,AK
0,0,2015,rape-legacy,AK0015200,AK
0,0,2015,robbery,AK0015200,AK
0,0,2015,violent-crime,AK0015200,AK
0,0,2016,aggravated-assault,AK0015200,AK
0,0,2016,arson,AK0015200,AK
0,0,2016,burglary,AK0015200,AK
0,0,2016,homicide,AK0015200,AK
0,0,2016,human-trafficing,AK0015200,AK
0,0,2016,larceny,AK0015200,AK
0,0,2016,motor-vehicle-theft,AK0015200,AK
0,0,2016,property-crime,AK0015200,AK
0,0,2016,rape,AK0015200,AK
0,0,2016,rape-legacy,AK0015200,AK
0,0,2016,robbery,AK0015200,AK
0,0,2016,violent-crime,AK0015200,AK
0,0,2017,aggravated-assault,AK0015200,AK
0,0,2017,arson,AK0015200,AK
0,0,2017,burglary,AK0015200,AK
0,0,2017,homicide,AK0015200,AK
0,0,2017,human-trafficing,AK0015200,AK
0,0,2017,larceny,AK0015200,AK
0,0,2017,motor-vehicle-theft,AK0015200,AK
0,0,2017,property-crime,AK0015200,AK
0,0,2017,rape,AK0015200,AK
0,0,2017,rape-legacy,AK0015200,AK
0,0,2017,robbery,AK0015200,AK
0,0,2017,violent-crime,AK0015200,AK
0,0,2015,aggravated-assault,AK0015000,AK
0,0,2015,arson,AK0015000,AK
0,0,2015,burglary,AK0015000,AK
0,0,2015,homicide,AK0015000,AK
0,0,2015,human-trafficing,AK0015000,AK
0,0,2015,larceny,AK0015000,AK
0,0,2015,motor-vehicle-theft,AK0015000,AK
0,0,2015,property-crime,AK0015000,AK
0,0,2015,rape,AK0015000,AK
0,0,2015,rape-legacy,AK0015000,AK
