year,state_abbr,state_id,population,aggravated_assault,arson,burglary,homicide,larceny,motor_vehicle_theft,property_crime,rape_legacy,rape_revised,robbery,violent_crime
1984,SC,45,3300000,15565,,40646,305,84753,7871,133270,1329,,3408,20607
1985,SC,45,3347000,16289,,41955,304,90260,8677,140892,1385,,3143,21121
1986,SC,45,3378000,17742,,45276,291,96132,9344,150752,1395,,3361,22789
1987,SC,45,3425000,17495,,46511,318,97892,9618,154021,1497,,3463,22773
1988,SC,45,3493000,19714,,49467,325,103055,10642,163164,1493,,4357,25889
1989,SC,45,3512000,22050,,48914,320,107845,12013,168772,1632,,4574,28576
1990,SC,45,3486703,26474,,48132,390,115144,13453,176729,1873,,5313,34050
1991,SC,45,3560000,26029,,51793,402,119784,13782,185359,2098,,6092,34621
1992,SC,45,3603000,25436,,49669,373,116186,12443,178298,2072,,6148,34029
1993,SC,45,3643000,28174,,47695,377,117553,12531,177779,1905,,6825,37281
1994,SC,45,3664000,28595,,46678,353,122252,13184,182114,1991,,6817,37756
2016,SD,46,861542,2808,126.0,3002,28,12705,1500,17207,509,526.0,274,3636
2017,SD,46,869666,2913,137.0,2707,25,12227,1383,16317,0,595.0,238,3771
1996,SD,46,732000,850,,4077,9,15532,834,20443,300,,138,1297
1997,SD,46,738000,918,,4088,10,17545,858,22491,357,,172,1457
1998,SD,46,738000,722,,3458,10,14006,763,18227,258,,149,1139
1999,SD,46,733133,770,,3255,18,14043,861,18159,336,,103,1227
2000,SD,46,754844,816,,2896,7,12558,798,16252,305,,131,1259
2001,SD,46,758324,710,,3087,7,12571,815,16473,351,,103,1171
2002,SD,46,760437,861,,3034,11,12139,819,15992,361,,117,1350
2003,SD,46,764905,859,,2878,10,11572,874,15324,356,,104,1329
2004,SD,46,770621,854,,3148,17,10890,847,14885,336,,112,1319
2005,SD,46,774883,847,,2505,18,10350,839,13694,377,,145,1387
2006,SD,46,781919,1418,,3024,30,9954,834,13812,465,,158,2071
2007,SD,46,796214,1344,,2647,31,10398,784,13829,433,,118,1926
2008,SD,46,804194,1494,,2683,37,10266,918,13867,562,,134,2227
2009,SD,46,812383,1129,,2621,30,10891,866,14378,501,,117,1777
2010,SD,46,816598,1634,84.0,3192,23,11196,800,15188,385,,154,2196
2011,SD,46,823593,1415,142.0,2927,20,11423,949,15299,503,,167,2105
2012,SD,46,834047,1921,233.0,3280,23,12973,1073,17326,600,,157,2701
2014,SD,46,853304,2101,90.0,2817,23,12209,1010,16036,336,478.0,199,2801
1995,SD,46,729000,1012,,3942,13,15976,881,20799,299,,189,1513
2015,SD,46,857919,2554,89.0,2969,33,12576,1194,16739,367,500.0,215,3302
2013,SD,46,845510,2052,148.0,3383,18,11955,936,16274,454,507.0,156,2733
1979,SD,46,689000,829,,4316,14,13782,1199,19297,113,,140,1096
1980,SD,46,688217,644,,4766,5,15521,1160,21447,86,,138,873
1981,SD,46,685000,505,,4348,12,14587,987,19922,79,,122,718
1982,SD,46,691000,468,,3885,19,12889,818,17592,79,,118,684
1983,SD,46,700000,595,,3820,15,12453,720,16993,119,,111,840
1984,SD,46,706000,733,,3529,13,13102,772,17403,190,,105,1041
1985,SD,46,708000,665,,3867,13,13142,721,17730,168,,121,967
1986,SD,46,708000,615,,3919,28,13728,699,18346,125,,115,883
1987,SD,46,709000,603,,3787,13,13673,678,18138,146,,87,849
1988,SD,46,715000,512,,3703,22,13255,683,17641,192,,87,813
1989,SD,46,715000,647,,3394,9,14057,779,18230,229,,84,969
1990,SD,46,696004,794,,3671,14,14678,767,19116,239,,86,1133
1991,SD,46,703000,858,,4146,12,15412,808,20366,279,,132,1281
1992,SD,46,711000,891,,3849,4,15371,719,19939,368,,120,1383
1993,SD,46,715000,1041,,3927,24,14915,819,19661,318,,107,1490
1994,SD,46,721000,1193,,3938,10,15916,872,20726,303,,135,1641
2016,TN,47,6649404,31332,1094.0,40607,495,135353,15239,191199,2714,2803.0,7829,42459
1996,TN,47,5320000,26295,,61896,503,152405,34428,248729,2475,,11902,41175
1997,TN,47,5368000,27335,,62899,511,156843,33742,253484,3056,,11487,42389
1998,TN,47,5431000,26220,,58432,460,148057,28099,234588,2485,,9667,38832
1999,TN,47,5483535,26707,,51362,391,142685,25255,219302,2415,,8598,38111
2000,TN,47,5689283,28172,,56344,410,154111,27530,237985,2186,,9465,40233
2001,TN,47,5749398,29938,,59705,423,165015,28272,252992,2196,,10219,42776
2002,TN,47,5789796,29439,,61248,420,161610,26541,249399,2290,,9413,41562
2003,TN,47,5845208,28471,,63323,396,166769,26473,256565,2129,,9413,40409
2004,TN,47,5893298,29611,,60386,357,169828,24777,254991,2282,,8863,41113
2005,TN,47,5955745,32470,,61508,431,169357,25228,256093,2194,,10009,45104
2006,TN,47,6038803,32287,,63024,419,164183,22653,249860,2194,,11143,46043
2007,TN,47,6156719,32843,,61817,405,168807,21718,252342,2201,,11033,46482
2008,TN,47,6214888,31619,,65093,412,166793,19203,251089,2078,,10804,44913
2009,TN,47,6296254,29793,,63832,468,158309,15016,237157,2019,,9653,41933
2010,TN,47,6357436,28016,1163.0,64293,359,153729,14833,232855,2173,,8361,38909
2011,TN,47,6399787,28338,1148.0,62830,380,153928,14142,230900,2095,,8082,38895
2012,TN,47,6454914,30615,1224.0,56231,400,148731,12963,217925,2047,,8151,41213
2013,TN,47,6497269,27895,1105.0,51334,335,144443,11906,207683,1904,2500.0,7333,38063
2014,TN,47,6547779,29757,1088.0,46798,369,141464,12649,200911,1870,2595.0,7268,39989
2017,TN,47,6715984,32432,953.0,38716,527,140248,18524,197488,0,2934.0,7862,43755
1995,TN,47,5256000,25783,,60086,557,147143,34086,241315,2477,,11732,40549
2015,TN,47,6595056,30098,930.0,43753,418,139259,13035,196047,2032,2801.0,7499,40816
1979,TN,47,4380000,8917,,56710,430,84850,16091,157651,1511,,7277,18135
1980,TN,47,4545590,10427,,68251,489,98876,16505,183632,1700,,8208,20824
1981,TN,47,4610000,8920,,63811,448,100526,15400,179737,1735,,7916,19019
1982,TN,47,4651000,9310,,59934,452,110316,15442,185692,1651,,8173,19586
1983,TN,47,4685000,8650,,56498,410,97785,14827,169110,1682,,8094,18836
1984,TN,47,4717000,10862,,53002,394,92176,17284,162462,1887,,7867,21010
1985,TN,47,4762000,11522,,55563,429,97159,23105,175827,2027,,8614,22592
1986,TN,47,4803000,13184,,63649,501,102103,26109,191861,2256,,9978,25919
1987,TN,47,4855000,13914,,65632,444,107459,27525,200616,2133,,9409,25900
1988,TN,47,4919000,15006,,60894,461,106052,26701,193647,2201,,8537,26205
1989,TN,47,4940000,16505,,59621,417,109908,26325,195854,2270,,7926,27118
1990,TN,47,4877185,20447,,61646,511,124127,27875,213648,2415,,9325,32698
1991,TN,47,4953000,22566,,67608,547,131855,30393,229856,2299,,10543,35955
1992,TN,47,5024000,23626,,63665,520,127934,28935,220534,2377,,10964,37487
1993,TN,47,5099000,24758,,60299,521,137683,30135,228117,2544,,11224,39047
1994,TN,47,5175000,24943,,59080,482,138173,28994,226247,2545,,10735,38705
1996,TX,48,19128000,80613,,204390,1477,659414,104928,968732,8376,,32804,123270
1997,TX,48,19439000,77266,,201059,1327,645451,101721,948231,8011,,30522,117126
1998,TX,48,19760000,73630,,194883,1346,606967,96646,898496,7913,,28677,111566
1999,TX,48,20044141,74070,,190362,1217,613862,92037,896261,7614,,29405,112306
2000,TX,48,20851820,74302,,188975,1238,637522,93161,919658,7856,,30257,113653
2001,TX,48,21370983,77306,,204362,1332,669625,102667,976654,8169,,35348,122155
2002,TX,48,21736925,78628,,212602,1302,688992,102680,1004274,8508,,37580,126018
2003,TX,48,22103374,75782,,219877,1422,698644,98214,1016735,8025,,37017,122246
2004,TX,48,22471549,75985,,220118,1364,696507,94077,1010702,8388,,35817,121554
2005,TX,48,22928508,75383,,219828,1407,677042,93423,990293,8511,,35790,121091
2006,TX,48,23507783,74531,,215710,1386,648711,95425,959846,8429,,37256,121602
2007,TX,48,23904380,73357,,228320,1419,663101,94000,985421,8460,,38778,122014
2008,TX,48,24326974,76421,,230046,1370,654435,85384,969865,8055,,37739,123585
2009,TX,48,24782302,74021,,240058,1330,678455,76569,995082,8311,,38022,121684
2010,TX,48,25253466,71517,5528.0,228597,1249,654626,68023,951246,7622,,32843,113231
2011,TX,48,25631778,67498,5037.0,215755,1130,613131,63924,892810,7486,,28620,104734
2012,TX,48,26060796,67227,4438.0,205002,1148,606425,65032,876459,7715,,30385,106475
2017,TX,48,28304596,76089,3312.0,134066,1412,523221,68041,725328,0,14470.0,32267,124238
2016,TX,48,27904862,72842,3525.0,148796,1478,552106,68990,769892,13367,13446.0,33298,121064
1995,TX,48,18724000,80380,,202642,1693,632468,104923,940033,8563,,33667,124303
2015,TX,48,27429639,67629,3533.0,153067,1317,558653,67514,779234,8941,12323.0,31924,113193
2013,TX,48,26505637,65351,3957.0,191062,1140,605440,65787,862289,7610,10456.0,31810,108757
2014,TX,48,26979078,65862,3828.0,168085,1192,577018,68412,813515,8400,11636.0,31021,109711
1979,TX,48,13385000,34043,,239758,2235,412515,72836,725109,6043,,25667,67988
1980,TX,48,14169829,39339,,262600,2392,450792,79088,792480,6700,,29547,77978
1981,TX,48,14755000,40765,,275978,2446,454879,83306,814163,6821,,28528,78560
1982,TX,48,15280000,45278,,285967,2466,501727,87105,874799,6816,,33618,88178
1983,TX,48,15724000,42205,,262198,2239,503582,82532,848312,6333,,29769,80546
1984,TX,48,15989000,42761,,266074,2093,529518,87799,883391,7343,,28540,80737
1985,TX,48,16370000,47854,,289825,2132,595912,99528,985265,8364,,31680,90030
1986,TX,48,16682000,59039,,341747,2258,665029,119121,1125897,8607,,40021,109925
1987,TX,48,16789000,57881,,355597,1959,711594,123367,1190558,8068,,38053,105961
1988,TX,48,16780000,60057,,361972,2022,739642,134256,1235870,8119,,39301,109499
1989,TX,48,16991000,63996,,342346,2029,741660,150971,1234977,7951,,37913,111889
1990,TX,48,16986510,73907,,314512,2389,731224,154415,1200151,8750,,44297,129343
1991,TX,48,17349000,84125,,312693,2652,734261,163830,1210784,9266,,49700,145743
1992,TX,48,17656000,86105,,268928,2239,689780,145071,1103779,9437,,44588,142369
1993,TX,48,18031000,84881,,233913,2147,664862,124837,1023612,9922,,40469,137419
1994,TX,48,18378000,81071,,214687,2022,623947,110753,949387,9102,,37643,129838
2004,UT,49,2420708,3398,,15225,46,74889,7648,97762,967,,1236,5647
2005,UT,49,2490334,3541,,14971,56,72082,8493,95546,920,,1095,5612
1996,UT,49,2000000,4362,,16965,63,87542,8572,113079,836,,1377,6638
1997,UT,49,2059000,4443,,18335,50,89090,9144,116569,977,,1408,6878
1998,UT,49,2100000,4274,,17070,65,84255,7700,109025,875,,1385,6599
1999,UT,49,2129836,3861,,14592,44,78156,7382,100130,806,,1158,5869
2000,UT,49,2233169,3563,,14348,43,73438,6461,94247,863,,1242,5711
2006,UT,49,2550063,3587,,14721,51,66480,8371,89572,891,,1242,5771
2007,UT,49,2645330,3928,,15594,59,68573,8915,93082,935,,1425,6347
2008,UT,49,2736424,3788,,14766,41,70299,7308,92373,915,,1421,6165
2009,UT,49,2784572,3714,,15258,39,69556,6937,91751,941,,1304,5998
2010,UT,49,2775479,3620,283.0,15095,53,67242,5979,88316,983,,1269,5925
2011,UT,49,2814347,3517,292.0,13170,50,64727,6187,84084,901,,1079,5547
2012,UT,49,2854871,3807,280.0,13095,52,67157,6032,86284,975,,1105,5939
2013,UT,49,2902787,3824,232.0,13727,51,67115,7492,88334,926,1522.0,1247,6644
2001,UT,49,2278712,3154,,13804,67,70676,6513,90993,896,,1197,5314
2002,UT,49,2318789,3358,,15124,47,74795,7722,97641,943,,1140,5488
2003,UT,49,2352119,3652,,16961,60,75321,7802,100084,919,,1258,5889
2017,UT,49,3101833,4172,224.0,11817,73,64892,9529,86238,0,1697.0,1468,7410
2016,UT,49,3044321,4244,263.0,12938,74,68261,9362,90561,1520,1560.0,1528,7406
2014,UT,49,2944498,3538,292.0,11656,66,66487,7330,85473,1114,1547.0,1313,6464
1995,UT,49,1951000,4196,,15623,76,89202,7592,112417,834,,1309,6415
2015,UT,49,2990632,4048,238.0,12606,57,68464,8727,89797,1247,1704.0,1329,7138
1979,UT,49,1367000,2649,,16115,66,50216,4587,70918,381,,1062,4158
1980,UT,49,1458729,2796,,19283,55,57354,4720,81357,404,,1170,4425
1981,UT,49,1516000,2760,,19326,50,58855,4462,82643,431,,1286,4527
1982,UT,49,1554000,2674,,17202,53,57341,3908,78451,369,,1344,4440
1983,UT,49,1619000,2644,,16446,56,58453,3816,78715,403,,1041,4144
1984,UT,49,1652000,2694,,14176,47,56782,3745,74703,336,,958,4035
1985,UT,49,1645000,3059,,15511,50,63668,3893,83072,381,,908,4398
1986,UT,49,1665000,2991,,15233,53,67825,3716,86774,421,,976,4441
1987,UT,49,1680000,2554,,15975,55,71038,3519,90532,365,,887,3861
1988,UT,49,1691000,2749,,14898,47,71677,3648,90223,399,,915,4110
1989,UT,49,1707000,2985,,15311,45,73210,4056,92577,489,,898,4417
1990,UT,49,1722850,3209,,15172,52,73352,4096,92620,651,,980,4892
1991,UT,49,1770000,3241,,14872,52,75041,4265,94178,808,,976,5077
1992,UT,49,1813000,3376,,16045,54,76964,4313,97322,823,,1014,5267
1993,UT,49,1860000,3622,,14708,58,72603,4505,91816,829,,1090,5599
1994,UT,49,1908000,3735,,15089,56,74554,5689,95332,806,,1213,5810
1996,VT,52,589000,453,,3964,11,12124,885,16973,159,,91,714
1997,VT,52,589000,461,,3611,9,11542,800,15953,156,,79,705
1998,VT,52,591000,396,,3966,13,13084,874,17924,163,,56,628
1999,VT,52,593740,458,,3537,17,11610,912,16059,136,,65,676
2000,VT,52,608827,425,,3501,9,13184,809,17494,140,,117,691
2001,VT,52,612978,423,,3150,7,12426,758,16334,107,,107,644
2002,VT,52,616408,442,,3489,13,10684,769,14942,126,,77,658
2003,VT,52,619343,504,,3017,15,10132,654,13803,126,,62,707
2004,VT,52,621233,459,,3435,16,10537,587,14559,160,,78,713
2005,VT,52,622387,545,,3185,8,10894,670,14749,153,,76,782
2006,VT,52,623908,604,,3443,14,10857,620,14920,173,,114,905
2007,VT,52,621254,582,,3200,13,10853,649,14702,128,,79,802
2008,VT,52,621270,611,,3515,17,11802,586,15903,133,,93,854
2009,VT,52,621760,586,,3471,8,11090,449,15010,132,,111,837
2010,VT,52,625909,596,54.0,3348,7,10373,439,14160,141,,76,820
2011,VT,52,626592,669,63.0,3838,11,10720,528,15086,146,,99,925
2012,VT,52,625953,638,73.0,4179,8,11014,460,15653,131,,114,891
2016,VT,52,623354,589,42.0,1884,14,7637,184,9705,178,170.0,78,851
2017,VT,52,623657,710,37.0,1854,14,6912,194,8960,0,218.0,92,1034
2014,VT,52,626767,444,35.0,2092,10,7375,254,9721,85,117.0,72,643
1995,VT,52,585000,450,,4451,13,14150,794,19395,165,,64,692
2015,VT,52,626088,482,27.0,2034,10,6834,196,9064,104,150.0,105,747
2013,VT,52,626855,554,73.0,3352,10,10193,337,13882,113,136.0,75,775
1979,VT,52,493000,647,,7779,7,15776,1662,25217,113,,141,908
1980,VT,52,511299,555,,7806,11,15278,1508,24592,149,,199,914
1981,VT,52,515000,325,,8033,22,15860,1511,25404,170,,142,659
1982,VT,52,516000,344,,6080,12,16160,1315,23555,180,,119,655
1983,VT,52,525000,317,,5724,19,14296,981,21001,214,,146,696
1984,VT,52,530000,530,,5387,12,14054,820,20261,105,,122,769
1985,VT,52,535000,557,,5210,18,13924,877,20011,103,,112,790
1986,VT,52,541000,558,,5135,11,14593,980,20708,118,,120,807
1987,VT,52,548000,518,,6085,15,15485,1088,22658,123,,92,748
1988,VT,52,556000,563,,6098,11,15591,1097,22786,128,,89,791
1989,VT,52,567000,509,,5835,11,15466,1128,22429,131,,102,753
1990,VT,52,562758,491,,6119,13,16424,1170,23713,146,,66,716
1991,VT,52,567000,410,,5784,12,15161,819,21764,173,,67,662
1992,VT,52,570000,419,,4706,12,13507,600,18813,142,,51,624
1993,VT,52,576000,356,,5036,21,16423,764,22223,229,,52,658
1994,VT,52,580000,325,,4274,6,13154,862,18290,160,,71,562
1996,VA,51,6675000,12318,,39255,500,184237,18608,242100,1783,,8181,22782
1997,VA,51,6734000,12558,,38475,488,180406,18892,237773,1819,,8384,23249
1998,VA,51,6791000,12712,,38094,422,170012,18355,226461,1810,,7171,22115
1999,VA,51,6872912,12567,,32411,392,159896,17953,210260,1720,,6947,21626
2000,VA,51,7078515,11631,,30434,401,146158,17813,194405,1616,,6295,19943
2001,VA,51,7196750,11945,,31604,364,157060,18842,207506,1770,,6860,20939
2002,VA,51,7287829,12068,,31757,388,157548,18478,207783,1839,,6961,21256
2003,VA,51,7365284,11554,,29105,416,153367,17977,200449,1807,,6713,20490
2004,VA,51,7481332,11503,,28759,390,154154,17455,200368,1816,,6899,20608
2005,VA,51,7564327,11718,,29829,458,154584,15991,200404,1763,,7495,21434
2006,VA,51,7642884,11672,,32166,403,143292,14799,190257,1829,,7779,21683
2007,VA,51,7712091,11131,,32028,415,145634,14101,191763,1793,,7696,21035
2008,VA,51,7769089,10397,,32188,370,151191,13347,196726,1794,,7470,20031
2009,VA,51,7882590,9911,,31956,370,150374,11690,194020,1572,,6342,18195
2010,VA,51,8023953,9550,1249.0,30804,376,145990,10609,187403,1580,,5678,17184
2011,VA,51,8104384,8694,1179.0,30656,304,142476,9770,182902,1591,,5425,16014
2012,VA,51,8186628,9131,1251.0,29651,322,139654,9129,178434,1505,,4718,15676
2016,VA,51,8414380,10357,874.0,20159,482,127285,9848,157292,2737,2830.0,4826,18495
2017,VA,51,8470020,9985,820.0,18468,453,123215,10172,151855,0,2862.0,4332,17632
2014,VA,51,8328098,9462,862.0,23210,350,131001,7723,161934,1687,2416.0,4294,16522
1995,VA,51,6618000,12901,,39388,503,181333,19363,240084,1799,,8718,23921
2015,VA,51,8367587,9357,894.0,21542,390,128064,8197,157803,1767,2499.0,4459,16705
2013,VA,51,8270345,9111,953.0,26717,320,136215,8626,171558,1476,2350.0,4574,16355
1979,VA,51,5197000,7989,,56265,447,141923,12826,211014,1407,,5799,15642
1980,VA,51,5323412,8046,,64020,459,153437,12130,229587,1458,,6392,16355
1981,VA,51,5426000,8285,,63350,464,161678,10956,235984,1478,,7229,17456
1982,VA,51,5491000,8491,,53457,405,153148,10108,216713,1366,,6708,16970
1983,VA,51,5550000,8347,,51055,387,142714,9863,203632,1370,,6132,16236
1984,VA,51,5636000,8958,,47436,434,138808,10337,196581,1503,,5765,16660
1985,VA,51,5706000,9137,,44797,405,142800,11224,198821,1551,,5720,16813
1986,VA,51,5787000,9646,,47021,411,145935,12702,205658,1533,,6118,17708
1987,VA,51,5904000,9196,,47642,437,153690,15022,216354,1537,,6244,17414
1988,VA,51,5996000,9102,,49069,468,165343,18084,232496,1622,,6748,17940
1989,VA,51,6098000,10445,,46156,480,172645,18956,237757,1638,,6494,19057
1990,VA,51,6187358,11608,,45236,545,187564,20263,253063,1915,,7626,21694
1991,VA,51,6286000,12346,,49224,583,195652,21284,266160,1879,,8651,23459
1992,VA,51,6377000,12548,,45217,564,185506,19488,250211,2008,,8787,23907
1993,VA,51,6491000,12322,,43338,539,181104,18533,242975,2083,,9216,24160
1994,VA,51,6552000,12294,,41855,571,181619,18289,241763,1868,,8704,23437
1990,WA,53,4866692,14731,,61460,238,195221,21759,278440,3115,,6326,24410
1991,WA,53,5018000,15181,,61996,211,205814,22305,290115,3529,,7303,26224
1992,WA,53,5136000,16321,,57612,258,207755,24214,289581,3697,,7178,27454
1993,WA,53,5255000,16181,,56083,271,205701,23969,285753,3384,,7204,27040
1994,WA,53,5343000,16329,,55793,294,212198,26743,294734,3230,,7464,27317
1996,WA,53,5533000,14187,,58512,255,215706,28893,303111,2828,,6587,23857
1997,WA,53,5610000,14864,,62064,244,213823,31855,307742,2885,,6734,24724
1998,WA,53,5689000,14839,,60446,224,213773,35200,309419,2740,,6577,24380
1999,WA,53,5756361,13026,,54652,171,192334,33807,280793,2711,,5808,21716
2000,WA,53,5894121,13043,,53476,196,190650,35018,279144,2737,,5812,21788
2001,WA,53,5993390,12545,,53024,179,195133,39077,287234,2600,,5934,21258
2002,WA,53,6067060,12249,,54948,184,193526,40493,288967,2734,,5797,20964
2003,WA,53,6131298,12509,,58271,182,192653,40618,291542,2863,,5718,21272
2004,WA,53,6207046,12417,,60632,190,196972,43233,300837,2857,,5866,21330
2005,WA,53,6291899,12941,,60343,205,198031,49287,307661,2811,,5788,21745
2006,WA,53,6395798,12934,,58843,197,183179,46434,288456,2748,,6424,22303
2007,WA,53,6468424,12862,,52874,174,170782,38120,261776,2653,,6079,21768
2008,WA,53,6549224,12623,,53136,193,167013,29134,249283,2653,,6419,21888
2009,WA,53,6664195,12928,,53047,190,168421,23747,245215,2583,,6711,22412
2010,WA,53,6742950,12476,1367.0,55192,154,168490,25744,249426,2579,,5929,21138
2011,WA,53,6823267,12042,1319.0,56561,163,162828,24820,244209,2320,,5627,20152
2012,WA,53,6895318,12285,1277.0,61376,217,166338,26663,254377,2250,,5801,20553
2016,WA,53,7280934,13124,1127.0,49249,195,173423,32322,254994,3077,3133.0,5649,22101
2017,WA,53,7405743,13673,1132.0,43720,230,162511,28796,235027,0,3255.0,5390,22548
2014,WA,53,7063166,11586,1177.0,55381,178,175317,30559,261257,1999,2780.0,5641,20185
1995,WA,53,5431000,15602,,59265,275,224861,30087,314213,3214,,7209,26300
2015,WA,53,7160290,12059,1267.0,51114,218,171393,26967,249474,2006,2778.0,5450,20505
2013,WA,53,6973742,11623,1126.0,58487,167,172227,28425,259139,2072,2604.0,5829,20223
1979,WA,53,3926000,10317,,70024,187,152204,17057,239285,1821,,4739,17064
1980,WA,53,4113331,11146,,76598,225,172468,16272,265338,2169,,5558,19098
1981,WA,53,4212000,11036,,79696,213,171994,13445,265135,2115,,5475,18839
1982,WA,53,4245000,10116,,71322,185,166188,11919,249429,1947,,5003,17251
1983,WA,53,4300000,9318,,70526,212,163953,10878,245357,1923,,4533,15986
1984,WA,53,4349000,10051,,74021,202,162905,10761,247687,2176,,5247,17676
1985,WA,53,4409000,10285,,79859,231,176501,12739,269099,2420,,5821,18757
1986,WA,53,4463000,10869,,83078,223,190420,14037,287535,2382,,6031,19505
1987,WA,53,4538000,10902,,86428,256,194131,17932,298491,2370,,6417,19945
1988,WA,53,4619000,11930,,85711,264,201301,19996,307008,2611,,6738,21543
1989,WA,53,4761000,12641,,73563,209,196122,21787,291472,2938,,6672,22460
1979,WV,55,1878000,1912,,11959,128,24755,3799,40513,291,,825,3156
1996,WV,55,1826000,2672,,9979,69,28300,3231,41510,358,,737,3836
1997,WV,55,1816000,2759,,10647,75,26934,3287,40868,355,,782,3971
1998,WV,55,1811000,3410,,11110,78,27127,3390,41627,339,,676,4503
1999,WV,55,1806928,5259,,10303,79,28760,3762,42825,337,,661,6336
2000,WV,55,1808344,4597,,9890,46,28139,3315,41344,331,,749,5723
2001,WV,55,1800975,3968,,9601,40,28268,3216,41085,320,,707,5035
2002,WV,55,1804884,3179,,9677,57,27524,3898,41099,328,,657,4221
2003,WV,55,1811440,3542,,10498,73,28409,3463,42370,311,,701,4627
2004,WV,55,1812548,3922,,10994,68,31566,3766,46326,346,,774,5110
2005,WV,55,1814083,3735,,11334,82,32603,3820,47757,335,,816,4968
2006,WV,55,1818470,3776,,11579,80,32305,4057,47941,404,,853,5113
2007,WV,55,1812035,3716,,10822,65,31321,3477,45620,388,,847,5016
2008,WV,55,1814468,3654,,10840,67,31967,3164,45971,389,,896,5006
2009,WV,55,1819777,4086,,12005,84,31453,2757,46215,470,,914,5554
2010,WV,55,1854368,4390,304.0,10778,58,28104,2419,41301,362,,776,5586
2011,WV,55,1854908,4236,261.0,10245,87,26656,2108,39009,372,,802,5497
2012,WV,55,1856680,4623,350.0,11466,70,30800,2234,44500,415,,835,5943
2013,WV,55,1853595,4242,216.0,9908,62,28055,1966,39929,367,700.0,653,5657
1995,WV,55,1828000,2584,,10329,89,27724,3040,41093,388,,781,3842
2016,WV,55,1828637,5144,239.0,9127,85,25657,2498,37282,657,684.0,720,6633
2017,WV,55,1815857,4964,219.0,7628,85,23000,3002,33630,0,795.0,524,6368
2014,WV,55,1848751,4517,190.0,9368,84,26954,1960,38282,417,594.0,655,5850
2015,WV,55,1841053,4819,215.0,9467,85,26984,2243,38694,493,710.0,783,6397
1980,WV,55,1930787,2167,,14258,138,27606,3855,45719,306,,936,3547
1981,WV,55,1951000,2024,,15122,118,28884,3675,47681,289,,979,3410
1982,WV,55,1948000,2031,,13985,102,27962,3567,45514,302,,970,3405
1983,WV,55,1965000,2147,,13455,96,27134,3569,44158,263,,869,3375
1984,WV,55,1952000,2148,,12649,86,26296,3368,42313,305,,744,3283
1985,WV,55,1936000,2054,,11972,73,25191,3238,40401,359,,728,3214
1986,WV,55,1919000,1893,,11999,114,26055,3247,41301,362,,787,3156
1987,WV,55,1897000,1493,,11450,92,24436,3067,38953,429,,591,2605
1988,WV,55,1884000,1386,,11510,93,25147,3046,39703,353,,644,2476
1989,WV,55,1857000,1463,,11635,121,26608,2911,41154,347,,793,2724
1990,WV,55,1793477,1831,,11785,102,27310,2760,41855,423,,680,3036
1991,WV,55,1801000,2135,,12009,111,29369,3150,44528,415,,779,3440
1992,WV,55,1812000,2537,,11287,115,29200,2968,43455,393,,788,3833
1993,WV,55,1820000,2520,,10904,126,28456,2940,42300,365,,782,3793
1994,WV,55,1822000,2690,,10673,99,28189,3274,42136,370,,772,3931
1996,WI,54,5160000,6767,,30356,204,135941,17846,184143,1086,,4982,13039
1997,WI,54,5170000,7521,,29503,205,131002,15640,176145,1048,,5214,13988
1998,WI,54,5224000,7308,,29740,190,128134,14210,172084,1037,,4474,13009
1999,WI,54,5250446,7225,,25633,179,120702,13819,160154,1055,,4449,12908
2000,WI,54,5363675,6829,,25183,169,119605,14636,159424,1165,,4537,12700
2001,WI,54,5405947,6708,,26927,192,125275,14722,166924,1142,,4444,12486
2002,WI,54,5439692,6134,,27926,154,123365,13458,164749,1237,,4713,12238
2003,WI,54,5474290,6322,,26546,183,118775,12363,157684,1202,,4397,12104
2004,WI,54,5503533,6191,,23854,154,111482,11374,146710,1136,,4067,11548
2005,WI,54,5527644,7471,,24448,206,110531,12577,147556,1135,,4555,13367
2006,WI,54,5556506,8937,,27038,165,115682,14028,156748,1233,,5564,15899
2007,WI,54,5601640,9438,,27890,185,117957,13458,159305,1227,,5480,16330
2008,WI,54,5627967,9070,,27459,146,116456,11541,155456,1128,,5163,15507
2009,WI,54,5654774,8482,,26813,146,111947,8932,147692,1118,,4904,14650
2010,WI,54,5691659,8305,676.0,26636,155,107993,8152,142781,1191,,4516,14167
2011,WI,54,5709843,8340,688.0,27167,138,104472,8273,139912,1190,,4600,14268
2012,WI,54,5724554,10165,731.0,27931,169,104619,8230,140780,1228,,4692,16254
1995,WI,54,5123000,7602,,31416,219,134623,18626,184665,1194,,5384,14399
2016,WI,54,5772917,10772,551.0,19498,232,82455,9958,111911,1979,2005.0,4707,17716
2017,WI,54,5795483,11869,587.0,17599,186,77735,9468,104802,0,2139.0,4345,18539
2014,WI,54,5759432,9826,553.0,21375,159,89255,9905,120535,1216,1677.0,5101,16763
2015,WI,54,5767891,10270,484.0,19602,240,83572,10997,114171,1324,1805.0,5234,17549
2013,WI,54,5742953,9285,654.0,24358,163,93946,7390,125694,1308,1836.0,4834,16118
1979,WI,54,4720000,4064,,44806,160,141880,12587,199273,758,,2857,7839
1980,WI,54,4680917,4403,,50524,136,154070,11479,216073,697,,3310,8546
1981,WI,54,4739000,4749,,50813,161,155892,10292,216997,745,,3249,8904
1982,WI,54,4765000,4856,,46564,148,147177,8706,202447,680,,3393,9077
