AK,Aleutians East,0.0
AK,Aleutians West,0.0
AK,Anchorage,98.0
AK,Bethel,0.0
AK,Bristol Bay,0.0
AK,Denali,0.0
AK,Dillingham,0.0
AK,Fairbanks North Star,6.0
AK,Haines,0.0
AK,Hoonah-Angoon,0.0
AK,Juneau,4.0
AK,Kenai Peninsula,0.0
AK,Ketchikan Gateway,0.0
AK,Kodiak Island,0.0
AK,Lake and Peninsula,0.0
AK,Matanuska-Susitna,0.0
AK,Nome,0.0
AK,North Slope,0.0
AK,Northwest Arctic,0.0
AK,Petersburg,0.0
AK,Prince of Wales-Hyder,0.0
AK,Sitka,0.0
AK,Skagway,0.0
AK,Southeast Fairbanks,0.0
AK,Valdez-Cordova,0.0
AK,Wade Hampton,0.0
AK,Wrangell,0.0
AK,Yakutat,0.0
AK,Yukon-Koyukuk,0.0
AR,Arkansas,0.0
AR,Ashley,0.0
AR,Baxter,0.0
AR,Benton,25.0
AR,Boone,0.0
AR,Bradley,0.0
AR,Calhoun,0.0
AR,Carroll,0.0
AR,Chicot,0.0
AR,Clark,2.0
AR,Clay,0.0
AR,Cleburne,0.0
AR,Cleveland,0.0
AR,Columbia,0.0
AR,Conway,0.0
AR,Craighead,4.0
AR,Crawford,4.0
AR,Crittenden,1.0
AR,Cross,0.0
AR,Dallas,0.0
AR,Desha,0.0
AR,Drew,0.0
AR,Faulkner,16.0
AR,Franklin,0.0
AR,Fulton,0.0
AR,Garland,8.0
AR,Grant,1.0
AR,Greene,0.0
AR,Hempstead,0.0
AR,Hot Spring,0.0
AR,Howard,0.0
AR,Independence,0.0
AR,Izard,0.0
AR,Jackson,0.0
AR,Jefferson,0.0
AR,Johnson,0.0
AR,Lafayette,0.0
AR,Lawrence,1.0
AR,Lee,0.0
AR,Lincoln,0.0
AR,Little River,1.0
AR,Logan,0.0
AR,Lonoke,1.0
AR,Madison,0.0
AR,Marion,0.0
AR,Miller,0.0
AR,Mississippi,0.0
AR,Monroe,0.0
AR,Montgomery,0.0
AR,Nevada,0.0
